"nom_sci","xcoord","ycoord","annee","code_spe","groupe"
"Sus scrofa","303435.377114","6725345.74455","2014","10","3"
"Sus scrofa","331412.774318","6706206.94425","2014","10","3"
"Sus scrofa","332672.534551","6705519.13276","2014","10","3"
"Sus scrofa","364952.43271","6685849.84306","2014","10","3"
"Sus scrofa","350599.887959","6699126.78632","2014","10","3"
"Sus scrofa","350599.887959","6699126.78632","2014","10","3"
"Sus scrofa","350599.887959","6699126.78632","2014","10","3"
"Sus scrofa","348931.532643","6739479.59625","2014","10","3"
"Sus scrofa","351973.543","6697625.145","2014","10","3"
"Sus scrofa","351973.543","6697625.145","2014","10","3"
"Sus scrofa","351973.543","6697625.145","2014","10","3"
"Sus scrofa","351973.543","6697625.145","2014","10","3"
"Sus scrofa","351973.543","6697625.145","2014","10","3"
"Sus scrofa","351973.543","6697625.145","2014","10","3"
"Sus scrofa","348172.965122","6694107.98855","2014","10","3"
"Capreolus capreolus","356286.315582","6683105.8138","2014","9","4"
"Sus scrofa","350965.290625","6694664.33281","2014","10","3"
"Sus scrofa","388323.796619","6677570.40694","2014","10","3"
"Sus scrofa","400316.952174","6671569.51862","2014","10","3"
"Meles meles","375114.755138","6681687.70073","2014","7","3"
"Meles meles","250121.43101","6844922.30804","2014","7","3"
"Sus scrofa","274021.1636","6842874.73314","2014","10","3"
"Sus scrofa","273674.642","6842951.011","2014","10","3"
"Sus scrofa","273674.642","6842951.011","2014","10","3"
"Meles meles","261549.297764","6842189.47109","2014","7","3"
"Meles meles","309926.624","6816781.338","2014","7","3"
"Meles meles","315096.501958","6810521.59217","2014","7","3"
"Capreolus capreolus","306531.753422","6819782.63075","2014","9","4"
"Capreolus capreolus","306531.753422","6819782.63075","2014","9","4"
"Meles meles","240493.631","6847821.194","2014","7","3"
"Capreolus capreolus","228233.382676","6846904.53086","2014","9","4"
"Meles meles","236441.605413","6848337.30353","2014","7","3"
"Meles meles","233784.15219","6848168.20577","2014","7","3"
"Capreolus capreolus","220556.265199","6848871.71706","2014","9","4"
"Meles meles","295070.688689","6830148.47197","2014","7","3"
"Sus scrofa","296306.886866","6828262.131","2014","10","3"
"Meles meles","306464.183944","6819856.12445","2014","7","3"
"Capreolus capreolus","228233.382676","6846904.53086","2014","9","4"
"Capreolus capreolus","215817.241331","6849801.3707","2014","9","4"
"Capreolus capreolus","243851.714873","6847022.00574","2014","9","4"
"Meles meles","236441.605413","6848337.30353","2014","7","3"
"Capreolus capreolus","231916.712773","6847444.50058","2014","9","4"
"Meles meles","235901.844556","6848248.82692","2014","7","3"
"Capreolus capreolus","285912.203833","6834324.74364","2014","9","4"
"Capreolus capreolus","256908.877","6842705.477","2014","9","4"
"Meles meles","286513.460008","6834308.13117","2014","7","3"
"Capreolus capreolus","284093.109","6834884.127","2014","9","4"
"Capreolus capreolus","316368.04","6809465.112","2014","9","4"
"Capreolus capreolus","296505.461","6828035.341","2014","9","4"
"Meles meles","313323.722409","6811951.4308","2014","7","3"
"Meles meles","267323.389","6841179.318","2014","7","3"
"Capreolus capreolus","257489.878839","6842460.57093","2014","9","4"
"Meles meles","258563.008968","6842207.48534","2014","7","3"
"Capreolus capreolus","246842.751","6845375.368","2014","9","4"
"Capreolus capreolus","310405.839147","6816020.57364","2014","9","4"
"Capreolus capreolus","295769.276344","6828949.40813","2014","9","4"
"Capreolus capreolus","305597.163862","6820761.64078","2014","9","4"
"Capreolus capreolus","317787.33326","6809156.18134","2014","9","4"
"Capreolus capreolus","310569.752731","6815770.37201","2014","9","4"
"Capreolus capreolus","232290.085727","6847589.96043","2014","9","4"
"Capreolus capreolus","221297.022378","6848518.32263","2014","9","4"
"Capreolus capreolus","255070.029","6843232.165","2014","9","4"
"Capreolus capreolus","225940.104438","6846949.64083","2014","9","4"
"Meles meles","260181.036083","6842179.16622","2014","7","3"
"Meles meles","292143.101844","6831790.43649","2014","7","3"
"Capreolus capreolus","280834.221013","6835116.7363","2014","9","4"
"Sus scrofa","288866.811061","6833854.88547","2014","10","3"
"Meles meles","275175.799817","6841635.54562","2014","7","3"
"Meles meles","294690.49441","6830961.10316","2014","7","3"
"Meles meles","219779.962557","6848945.09976","2014","7","3"
"Meles meles","244203.422","6846669.816","2014","7","3"
"Capreolus capreolus","214170.440232","6850087.997","2014","9","4"
"Sus scrofa","288866.811061","6833854.88547","2014","10","3"
"Meles meles","275175.799817","6841635.54562","2014","7","3"
"Meles meles","294690.49441","6830961.10316","2014","7","3"
"Meles meles","236688.995","6848305.476","2014","7","3"
"Sus scrofa","240100.910391","6847901.35176","2014","10","3"
"Sus scrofa","240100.910391","6847901.35176","2014","10","3"
"Sus scrofa","240100.910391","6847901.35176","2014","10","3"
"Meles meles","256455.946441","6842915.25043","2014","7","3"
"Meles meles","283576.64","6800292.067","2014","7","3"
"Meles meles","352190.777745","6838799.2236","2014","7","3"
"Meles meles","239317.171933","6810812.5738","2014","7","3"
"Meles meles","226338.1501","6814182.16651","2014","7","3"
"Meles meles","228481.925852","6813188.68208","2014","7","3"
"Meles meles","281784.552843","6800337.82027","2014","7","3"
"Meles meles","275905.074771","6801775.6737","2014","7","3"
"Meles meles","220229.761","6848921.909","2014","7","3"
"Meles meles","244203.422","6846669.816","2014","7","3"
"Sus scrofa","230233.940346","6847035.82203","2014","10","3"
"Meles meles","318227.944789","6826854.51749","2014","7","3"
"Capreolus capreolus","335607.64403","6838577.9419","2014","9","4"
"Sus scrofa","352190.777745","6838799.2236","2014","10","3"
"Sus scrofa","352190.777745","6838799.2236","2014","10","3"
"Meles meles","323551.644584","6828580.68314","2014","7","3"
"Sus scrofa","323551.644584","6828580.68314","2014","10","3"
"Sus scrofa","319920.142401","6827649.27976","2014","10","3"
"Sus scrofa","327687.724861","6832437.87731","2014","10","3"
"Meles meles","364541.930813","6838840.2983","2014","7","3"
"Meles meles","318037.338004","6826791.79919","2014","7","3"
"Meles meles","327837.121479","6833676.62717","2014","7","3"
"Capreolus capreolus","302369.220838","6801962.97561","2014","9","4"
"Sus scrofa","221668.172","6848371.412","2014","10","3"
"Meles meles","225420.62","6847047.492","2014","7","3"
"Sus scrofa","255155.240301","6843233.80146","2014","10","3"
"Sus scrofa","255155.240301","6843233.80146","2014","10","3"
"Capreolus capreolus","241449.969","6847633.801","2014","9","4"
"Sus scrofa","240960.799615","6847741.41161","2014","10","3"
"Meles meles","283407.70423","6835000.9428","2014","7","3"
"Meles meles","293115.660701","6831538.7128","2014","7","3"
"Sus scrofa","284995.920692","6834578.49628","2014","10","3"
"Meles meles","305677.692","6820703.249","2014","7","3"
"Capreolus capreolus","295769.276344","6828949.40813","2014","9","4"
"Meles meles","310569.752731","6815770.37201","2014","7","3"
"Meles meles","301466.167438","6826152.09548","2014","7","3"
"Meles meles","310200.072583","6816360.79436","2014","7","3"
"Meles meles","295070.688689","6830148.47197","2014","7","3"
"Meles meles","300002.049649","6824814.16514","2014","7","3"
"Sus scrofa","336842.254383","6838500.25155","2014","10","3"
"Sus scrofa","327183.04336","6831359.001","2014","10","3"
"Sus scrofa","327183.04336","6831359.001","2014","10","3"
"Sus scrofa","309314.450447","6826139.36712","2014","10","3"
"Capreolus capreolus","343672.65904","6838351.18081","2014","9","4"
"Capreolus capreolus","342230.463873","6838258.05325","2014","9","4"
"Meles meles","332050.646567","6837936.09147","2014","7","3"
"Meles meles","229258.796","6846966.215","2014","7","3"
"Sus scrofa","240615.064883","6847800.15758","2014","10","3"
"Capreolus capreolus","253183.656","6843517.113","2014","9","4"
"Capreolus capreolus","252637.41396","6843766.70833","2014","9","4"
"Meles meles","258762.22","6842187.315","2014","7","3"
"Meles meles","280197.190249","6800770.25902","2014","7","3"
"Meles meles","287822.825381","6801290.04406","2014","7","3"
"Meles meles","261575.107","6806014.858","2014","7","3"
"Sus scrofa","238501.779904","6811374.83698","2014","10","3"
"Capreolus capreolus","226138.245139","6814192.82427","2014","9","4"
"Meles meles","241936.258239","6810677.8621","2014","7","3"
"Sus scrofa","288964.229","6833832.924","2014","10","3"
"Sus scrofa","288769.377938","6833876.77953","2014","10","3"
"Sus scrofa","285521.46065","6834392.55052","2014","10","3"
"Sus scrofa","293212.536","6831513.5","2014","10","3"
"Sus scrofa","293212.536","6831513.5","2014","10","3"
"Sus scrofa","293212.536","6831513.5","2014","10","3"
"Meles meles","300457.216145","6824281.48214","2014","7","3"
"Meles meles","314774.769822","6810837.60293","2014","7","3"
"Meles meles","281639.375592","6736500.95968","2014","7","3"
"Meles meles","303038.142889","6726257.88727","2014","7","3"
"Sus scrofa","285642.98","6733170.454","2014","10","3"
"Meles meles","281900.659","6751473.437","2014","7","3"
"Meles meles","275813.140833","6745978.73182","2014","7","3"
"Meles meles","275520.558063","6745918.4781","2014","7","3"
"Sus scrofa","278127.495336","6747979.0299","2014","10","3"
"Sus scrofa","278127.495336","6747979.0299","2014","10","3"
"Sus scrofa","278127.495336","6747979.0299","2014","10","3"
"Meles meles","240014.978393","6766482.6836","2014","7","3"
"Meles meles","245321.531979","6768713.82016","2014","7","3"
"Meles meles","263014.918364","6771290.68318","2014","7","3"
"Meles meles","312444.094777","6771507.43471","2014","7","3"
"Sus scrofa","292644.521977","6773896.08463","2014","10","3"
"Sus scrofa","314297.538742","6770845.513","2014","10","3"
"Meles meles","216778.25476","6766123.04326","2014","7","3"
"Capreolus capreolus","239474.101997","6758556.01923","2014","9","4"
"Meles meles","230055.101563","6761800.08382","2014","7","3"
"Meles meles","235964.475413","6765244.55761","2014","7","3"
"Sus scrofa","291367.503669","6730167.67959","2014","10","3"
"Meles meles","247070.216055","6751140.24738","2014","7","3"
"Meles meles","264307.756821","6744960.08728","2014","7","3"
"Sus scrofa","279450.697119","6737686.28572","2014","10","3"
"Sus scrofa","279450.697119","6737686.28572","2014","10","3"
"Sus scrofa","279450.697119","6737686.28572","2014","10","3"
"Meles meles","278740.935745","6748300.84126","2014","7","3"
"Capreolus capreolus","254565.909717","6771687.71328","2014","9","4"
"Meles meles","265485.423322","6771477.89675","2014","7","3"
"Meles meles","248345.720297","6770691.43608","2014","7","3"
"Meles meles","239867.044839","6766460.45589","2014","7","3"
"Meles meles","266376.470029","6771567.3549","2014","7","3"
"Meles meles","320190.484558","6774651.5247","2014","7","3"
"Capreolus capreolus","253275.483272","6771612.73489","2014","9","4"
"Meles meles","240014.978393","6766482.6836","2014","7","3"
"Capreolus capreolus","250608.147653","6772018.01006","2014","9","4"
"Sus scrofa","290575.935328","6730605.15701","2014","10","3"
"Capreolus capreolus","294060.674007","6729014.35822","2014","9","4"
"Capreolus capreolus","285417.001074","6733613.50162","2014","9","4"
"Capreolus capreolus","287750.948","6731080.421","2014","9","4"
"Capreolus capreolus","299212.33","6728207.744","2014","9","4"
"Sus scrofa","278586.460939","6748175.87892","2014","10","3"
"Capreolus capreolus","272076.276721","6745712.75433","2014","9","4"
"Meles meles","248953.904774","6747672.19854","2014","7","3"
"Meles meles","217320.052178","6763906.7822","2014","7","3"
"Meles meles","247650.983072","6750090.39378","2014","7","3"
"Meles meles","247650.983072","6750090.39378","2014","7","3"
"Meles meles","240127.999843","6758295.42308","2014","7","3"
"Meles meles","233902.488933","6761347.79797","2014","7","3"
"Sus scrofa","294753.903582","6773291.35238","2014","10","3"
"Meles meles","309213.731044","6771189.44331","2014","7","3"
"Meles meles","295543.439893","6767676.65113","2014","7","3"
"Capreolus capreolus","234160.487809","6763752.52144","2014","9","4"
"Capreolus capreolus","234844.769064","6764427.04131","2014","9","4"
"Capreolus capreolus","239851.882661","6758411.80045","2014","9","4"
"Capreolus capreolus","231654.906698","6761819.60892","2014","9","4"
"Capreolus capreolus","228916.181925","6762150.39876","2014","9","4"
"Capreolus capreolus","231353.044001","6761847.86082","2014","9","4"
