"nom_sci","xcoord","ycoord","annee","code_spe","groupe"
"Meles meles","263111.645718","6771314.36943","2018","7","3"
"Meles meles","270921.492522","6772551.10211","2018","7","3"
"Meles meles","279994.090866","6774179.80246","2018","7","3"
"Sus scrofa","218115.654737","6763046.71991","2018","10","3"
"Capreolus capreolus","233305.489073","6762535.75193","2018","9","4"
"Meles meles","236734.358439","6759978.56971","2018","7","3"
"Sus scrofa","233529.957185","6762976.50114","2018","10","3"
"Capreolus capreolus","219360.604475","6761931.01635","2018","9","4"
"Sus scrofa","226637.381013","6762007.55112","2018","10","3"
"Capreolus capreolus","294012.52","6761887.631","2018","9","4"
"Meles meles","295274.26162","6765223.07387","2018","7","3"
