"nom_vern","nom_sci","id_obs","date","annee","xcoord","ycoord","source"
"Blaireau européen","Meles meles","7bf1d39cfeea79904b5f002f9b3e81efffa5e91b","2021/09/13 00:00:00.000",2021,424552.737198576,6755565.3460735,"LPO anjoux"
"Blaireau européen","Meles meles","bd9f456be51a5a38539bf63c400841ab936a7e74","2021/03/24 00:00:00.000",2021,463772.301675121,6725205.29716664,"LPO anjoux"
"Sanglier","Sus scrofa","7bf1d39cfeea79904b5f002f9b3e81efffa5e91b","2021/09/13 00:00:00.000",2021,424581.90172961,6755970.31745803,"LPO anjoux"
"Blaireau européen","Meles meles","cde09c9e104b485524561844ecf8deb2d7a2ba91","2014/01/19 00:00:00.000",2014,386421.480921912,6740929.35325782,"LPO anjoux"
"Sanglier","Sus scrofa","e79dd5402c1ffde0be91f164f06a9a2a53012493","2018/03/21 00:00:00.000",2018,451285.553882291,6739785.34548012,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","e79dd5402c1ffde0be91f164f06a9a2a53012493","2018/03/21 00:00:00.000",2018,451519.278771296,6740150.16135116,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","1f0fd8bda172047c52e90082edd045b297dffe6d","2021/09/21 00:00:00.000",2021,412781.593636608,6674812.38698509,"LPO anjoux"
"Blaireau européen","Meles meles","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2016/10/26 00:00:00.000",2016,381463.686218684,6675796.16056201,"LPO anjoux"
"Blaireau européen","Meles meles","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2014/10/31 00:00:00.000",2014,449707.332821803,6679042.66779553,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","39f5a14b14544d4b438f5022487efe7cfdc31309","2015/03/04 00:00:00.000",2015,471839.742843701,6717809.85821801,"LPO anjoux"
"Blaireau européen","Meles meles","02686370149d882efc6054344ab5396441f6288e","2017/03/25 00:00:00.000",2017,488218.502146068,6716673.52832033,"LPO anjoux"
"Blaireau européen","Meles meles","98d11dbd2f7757aa72cd444806ea419a0a060e14","2016/04/21 00:00:00.000",2016,476709.685544591,6681689.87600779,"LPO anjoux"
"Blaireau européen","Meles meles","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2019/01/28 00:00:00.000",2019,455753.380408547,6673356.86141083,"LPO anjoux"
"Sanglier","Sus scrofa","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2019/02/01 00:00:00.000",2019,413369.141812992,6682221.97527806,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2019/02/01 00:00:00.000",2019,413313.146964838,6682276.48351479,"LPO anjoux"
"Blaireau européen","Meles meles","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2019/02/01 00:00:00.000",2019,413293.94665544,6682257.16591428,"LPO anjoux"
"Sanglier","Sus scrofa","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2019/02/01 00:00:00.000",2019,413320.898674924,6682302.1332282,"LPO anjoux"
"Sanglier","Sus scrofa","68ae95bdb77b64f605387f5794eec4a6519e4200","2020/09/27 00:00:00.000",2020,320443.058165487,6694878.78229191,"LPO anjoux"
"Sanglier","Sus scrofa","bd9f456be51a5a38539bf63c400841ab936a7e74","2021/03/24 00:00:00.000",2021,463109.633837283,6724521.95858413,"LPO anjoux"
"Sanglier","Sus scrofa","7c6cf86e10d50f4a9a4ec1e8d1652d7ead8772b1","2019/09/27 00:00:00.000",2019,355992.301121,6677006.96720294,"LPO anjoux"
"Cerf élaphe","Cervus elaphus","02686370149d882efc6054344ab5396441f6288e","2014/09/13 00:00:00.000",2014,482968.952338944,6697637.49633628,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","cde09c9e104b485524561844ecf8deb2d7a2ba91","2014/03/11 00:00:00.000",2014,382430.732275516,6751050.14044545,"LPO anjoux"
"Blaireau européen","Meles meles","ec4c12d82c789edf44715657f518a94bbff351d5","2018/07/28 00:00:00.000",2018,443654.171738321,6730972.95570008,"LPO anjoux"
"Sanglier","Sus scrofa","4fd8d0afbe60987dddc31a63e95389b4b98c1a60","2021/07/17 00:00:00.000",2021,301874.263367332,6715295.3368452,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2016/07/18 00:00:00.000",2016,390769.749347763,6680878.73822063,"LPO anjoux"
"Blaireau européen","Meles meles","5bab0bea2220e65beb310c87eec3811bcc8e136e","2017/10/02 00:00:00.000",2017,380803.696964909,6693419.9531861,"LPO anjoux"
"Blaireau européen","Meles meles","446691511272946faa2ce0830847e1e70e86c3e0","2016/03/13 00:00:00.000",2016,396688.586270179,6745352.65877718,"LPO anjoux"
"Blaireau européen","Meles meles","9a5e2bd6eaa70294f979c3d52691c031b04920cf","2016/03/13 00:00:00.000",2016,396663.96461234,6745346.26783995,"LPO anjoux"
"Sanglier","Sus scrofa","f878e26725bfa5ed943e38cf4efd46c97734a4f4","2015/12/30 00:00:00.000",2015,432536.662322206,6708080.41602367,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","f878e26725bfa5ed943e38cf4efd46c97734a4f4","2015/12/30 00:00:00.000",2015,432536.662322206,6708080.41602367,"LPO anjoux"
"Blaireau européen","Meles meles","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2017/10/03 00:00:00.000",2017,442143.274088601,6696166.50270836,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2017/04/24 00:00:00.000",2017,417044.475004899,6724668.94262511,"LPO anjoux"
"Sanglier","Sus scrofa","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2017/04/24 00:00:00.000",2017,417044.475004899,6724668.94262511,"LPO anjoux"
"Blaireau européen","Meles meles","945895dd3866cf7bf426ab63e1d4edf8f764a718","2015/12/05 00:00:00.000",2015,407583.161783512,6685771.50547341,"LPO anjoux"
"Sanglier","Sus scrofa","e79dd5402c1ffde0be91f164f06a9a2a53012493","2020/01/04 00:00:00.000",2020,444687.974583979,6729189.12979434,"LPO anjoux"
"Sanglier","Sus scrofa","e1d50c48e55fab73cd4468e23d4a46a6770c4f18","2016/01/16 00:00:00.000",2016,443446.979977957,6704637.35272875,"LPO anjoux"
"Sanglier","Sus scrofa","98d11dbd2f7757aa72cd444806ea419a0a060e14","2016/05/06 00:00:00.000",2016,451473.303148561,6694209.77613205,"LPO anjoux"
"Sanglier","Sus scrofa","cde09c9e104b485524561844ecf8deb2d7a2ba91","2014/03/11 00:00:00.000",2014,382416.60090479,6751317.99971648,"LPO anjoux"
"Blaireau européen","Meles meles","98d11dbd2f7757aa72cd444806ea419a0a060e14","2016/05/06 00:00:00.000",2016,451473.303148561,6694209.77613205,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","98d11dbd2f7757aa72cd444806ea419a0a060e14","2016/05/06 00:00:00.000",2016,451473.303148561,6694209.77613205,"LPO anjoux"
"Blaireau européen","Meles meles","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2017/10/04 00:00:00.000",2017,468146.751238629,6687050.93246085,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2016/07/18 00:00:00.000",2016,390008.060636814,6680851.58555141,"LPO anjoux"
"Sanglier","Sus scrofa","b6ecbae14395b04e57358a2a7047050ebbd5a156","2020/02/07 00:00:00.000",2020,420874.655791696,6717033.32901454,"LPO anjoux"
"Sanglier","Sus scrofa","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2016/04/21 00:00:00.000",2016,435956.684470124,6708740.74135839,"LPO anjoux"
"Blaireau européen","Meles meles","8534d19d67d629d14275beafa3418a5bcfc0496c","2020/01/22 00:00:00.000",2020,486366.017897368,6702990.8493176,"LPO anjoux"
