"";"GRID_NAME_maille";"nb.data";"nb.dates";"nb.obs";"sr";"Axis1";"Axis2";"lat.wgs84";"lon.wgs84"
"77";"E018N686";50451;2114;268;262;-2,99954982838398;0,945352514011088;48,6798140554845;-3,98890163569114
"78";"E018N687";10039;549;190;201;0,00353429032943639;-0,527689456880779;48,7403254450471;-4,0056939068926
"79";"E019N676";7924;717;202;220;-0,252036823935843;-0,623797509150676;47,8071728485249;-3,75495832157675
"80";"E019N677";4538;677;174;165;0,445333872385309;-0,230108915270763;47,8836323074951;-3,75374144404802
"81";"E019N678";3518;373;99;138;1,16802108830257;-0,0246482924998773;47,9759639648532;-3,78683970356605
"82";"E019N679";1641;213;51;121;1,64077607990535;0,104343279777787;48,0490905907246;-3,79248986343867
"83";"E019N680";2417;249;81;132;1,39586778301293;-0,0400900604019124;48,1485949642445;-3,80128808291106
"84";"E019N681";839;97;49;93;1,99005336524705;0,203177895891172;48,2376265019509;-3,80100872019454
"85";"E019N682";5992;629;184;163;0,417758684749832;-0,257780875884842;48,3499649958006;-3,85625413797001
"86";"E019N683";26299;1787;244;188;-1,35958864752127;0,747327848209027;48,428118074439;-3,83283944370501
"87";"E019N684";6381;1076;122;163;0,32468122143966;0,343799144520104;48,5131386407382;-3,84062112696067
"88";"E019N685";59753;3049;380;232;-4,01327669013622;1,72146363935971;48,6102125381378;-3,84815548801538
"89";"E019N686";46975;2476;281;259;-3,156794740605;1,13135612181098;48,6720863817085;-3,86716362533543
"90";"E020N676";10253;1166;172;217;-0,486962233703445;-0,0725547046051044;47,7985187847981;-3,63114919473829
"91";"E020N677";6998;857;126;156;0,498354655310242;0,21686542705492;47,8884180132198;-3,62494642695931
"92";"E020N678";1769;221;66;102;1,74463162946142;0,196500751583358;47,9859782861316;-3,64553604938611
"93";"E020N679";1654;198;49;115;1,70916055654561;0,143645232715059;48,0550618718164;-3,66234669360543
"94";"E020N680";7449;660;79;138;0,933268735151564;0,373575586185428;48,1370030832619;-3,70230611031156
"95";"E020N681";3436;815;69;123;1,11155159602655;0,552309183209636;48,2413411198401;-3,69239214116851
"96";"E020N682";7115;596;148;143;0,704225995911051;0,0211086082987329;48,3605650338591;-3,72880511605481
"97";"E020N683";30860;3295;151;176;-2,06409980302983;2,50809435245058;48,4487237851451;-3,73355430053824
"98";"E020N684";5438;632;57;141;1,05990505264294;0,364036270362277;48,5128804662811;-3,74374581000578
"99";"E020N685";6795;1317;119;163;0,163744291948747;0,559814799594421;48,6101139995011;-3,73143772518412
"100";"E020N686";12248;1260;151;200;-0,387368838743336;0,251891308394333;48,6880419341039;-3,75901262043302
"101";"E021N674";9365;541;183;219;-0,103391043092841;-0,654984171963339;47,634890691571;-3,45824163978813
"102";"E021N675";49531;2256;329;291;-3,52800676879287;0,601002086368621;47,7392376425933;-3,49089193804934
"103";"E021N676";17102;1441;354;250;-1,78011715592681;-0,607349090683857;47,7824930469718;-3,500223277402
"104";"E021N677";17024;1344;151;153;-0,174371363371744;0,77344591267451;47,8899385811046;-3,5228596050653
"105";"E021N678";3925;504;73;114;1,36705535078001;0,362440505775039;48,0040189281782;-3,51416717119089
"106";"E021N679";1350;194;89;107;1,65208509949706;0,0429796728594343;48,0608652082414;-3,49947784108141
"107";"E021N680";4938;457;77;151;1,0345524519782;0,0634484750072272;48,1941449700416;-3,50377407942102
"108";"E021N681";3004;578;114;120;1,15164390271066;0,204893014466275;48,2691042728497;-3,56358183363275
"109";"E021N682";1512;148;69;105;1,76401215571495;0,0983778029951624;48,3658998698217;-3,58084798532926
"110";"E021N683";1721;238;46;126;1,59586285700542;0,108605022374812;48,4383150032157;-3,55711699293206
"111";"E021N684";14016;1134;210;210;-0,645237194214607;-0,101205178286572;48,5413060342442;-3,5634545934313
